Frequency (Hz),dB (Relative)
20,11.08000
21,11.40600
22,11.73200
23,12.05800
24,12.38400
25,12.71000
26,13.03600
27,13.36200
28,13.68800
29,14.01400
30,14.34000
31,14.27000
32,14.20000
33,14.13000
34,14.06000
35,13.99000
36,13.92000
37,13.85000
38,13.78000
39,13.71000
40,13.64000
41,13.47000
42,13.30000
43,13.13000
44,12.96000
45,12.79000
46,12.62000
47,12.45000
48,12.28000
49,12.11000
50,11.94000
51,11.73800
52,11.53600
53,11.33400
54,11.13200
55,10.93000
56,10.72800
57,10.52600
58,10.32400
59,10.12200
60,9.92000
61,9.83500
62,9.75000
63,9.66500
64,9.58000
65,9.49500
66,9.41000
67,9.32500
68,9.24000
69,9.15500
70,9.07000
71,9.00800
72,8.94600
73,8.88400
74,8.82200
75,8.76000
76,8.69800
77,8.63600
78,8.57400
79,8.51200
80,8.45000
81,8.35700
82,8.26400
83,8.17100
84,8.07800
85,7.98500
86,7.89200
87,7.79900
88,7.70600
89,7.61300
90,7.52000
91,7.41900
92,7.31800
93,7.21700
94,7.11600
95,7.01500
96,6.91400
97,6.81300
98,6.71200
99,6.61100
100,6.51000
101,6.43560
102,6.36120
103,6.28680
104,6.21240
105,6.13800
106,6.06360
107,5.98920
108,5.91480
109,5.84040
110,5.76600
111,5.69160
112,5.61720
113,5.54280
114,5.46840
115,5.39400
116,5.31960
117,5.24520
118,5.17080
119,5.09640
120,5.02200
121,4.94760
122,4.87320
123,4.79880
124,4.72440
125,4.65000
126,4.57560
127,4.50120
128,4.42680
129,4.35240
130,4.27800
131,4.20360
132,4.12920
133,4.05480
134,3.98040
135,3.90600
136,3.83160
137,3.75720
138,3.68280
139,3.60840
140,3.53400
141,3.45960
142,3.38520
143,3.31080
144,3.23640
145,3.16200
146,3.08760
147,3.01320
148,2.93880
149,2.86440
150,2.79000
151,2.72640
152,2.66280
153,2.59920
154,2.53560
155,2.47200
156,2.40840
157,2.34480
158,2.28120
159,2.21760
160,2.15400
161,2.09040
162,2.02680
163,1.96320
164,1.89960
165,1.83600
166,1.77240
167,1.70880
168,1.64520
169,1.58160
170,1.51800
171,1.45440
172,1.39080
173,1.32720
174,1.26360
175,1.20000
176,1.13640
177,1.07280
178,1.00920
179,0.94560
180,0.88200
181,0.81840
182,0.75480
183,0.69120
184,0.62760
185,0.56400
186,0.50040
187,0.43680
188,0.37320
189,0.30960
190,0.24600
191,0.18240
192,0.11880
193,0.05520
194,-0.00840
195,-0.07200
196,-0.13560
197,-0.19920
