Frequency (Hz),dB (Relative)
20,-0.24000
21,0.25700
22,0.75400
23,1.25100
24,1.74800
25,2.24500
26,2.74200
27,3.23900
28,3.73600
29,4.23300
30,4.73000
31,5.14800
32,5.56600
33,5.98400
34,6.40200
35,6.82000
36,7.23800
37,7.65600
38,8.07400
39,8.49200
40,8.91000
41,8.84800
42,8.78600
43,8.72400
44,8.66200
45,8.60000
46,8.53800
47,8.47600
48,8.41400
49,8.35200
50,8.29000
51,8.15100
52,8.01200
53,7.87300
54,7.73400
55,7.59500
56,7.45600
57,7.31700
58,7.17800
59,7.03900
60,6.90000
61,6.96200
62,7.02400
63,7.08600
64,7.14800
65,7.21000
66,7.27200
67,7.33400
68,7.39600
69,7.45800
70,7.52000
71,7.58200
72,7.64400
73,7.70600
74,7.76800
75,7.83000
76,7.89200
77,7.95400
78,8.01600
79,8.07800
80,8.14000
81,8.06200
82,7.98400
83,7.90600
84,7.82800
85,7.75000
86,7.67200
87,7.59400
88,7.51600
89,7.43800
90,7.36000
91,7.20500
92,7.05000
93,6.89500
94,6.74000
95,6.58500
96,6.43000
97,6.27500
98,6.12000
99,5.96500
100,5.81000
101,5.70760
102,5.60520
103,5.50280
104,5.40040
105,5.29800
106,5.19560
107,5.09320
108,4.99080
109,4.88840
110,4.78600
111,4.68360
112,4.58120
113,4.47880
114,4.37640
115,4.27400
116,4.17160
117,4.06920
118,3.96680
119,3.86440
120,3.76200
121,3.65960
122,3.55720
123,3.45480
124,3.35240
125,3.25000
126,3.14760
127,3.04520
128,2.94280
129,2.84040
130,2.73800
131,2.63560
132,2.53320
133,2.43080
134,2.32840
135,2.22600
136,2.12360
137,2.02120
138,1.91880
139,1.81640
140,1.71400
141,1.61160
142,1.50920
143,1.40680
144,1.30440
145,1.20200
146,1.09960
147,0.99720
148,0.89480
149,0.79240
150,0.69000
151,0.67920
152,0.66840
153,0.65760
154,0.64680
155,0.63600
156,0.62520
157,0.61440
158,0.60360
159,0.59280
160,0.58200
161,0.57120
162,0.56040
163,0.54960
164,0.53880
165,0.52800
166,0.51720
167,0.50640
168,0.49560
169,0.48480
170,0.47400
171,0.46320
172,0.45240
173,0.44160
174,0.43080
175,0.42000
176,0.40920
177,0.39840
178,0.38760
179,0.37680
180,0.36600
181,0.35520
182,0.34440
183,0.33360
184,0.32280
185,0.31200
186,0.30120
187,0.29040
188,0.27960
189,0.26880
190,0.25800
191,0.24720
192,0.23640
193,0.22560
194,0.21480
195,0.20400
196,0.19320
197,0.18240
198,0.17160
199,0.16080
200,0.15000
201,0.15540
202,0.16080
203,0.16620
204,0.17160
205,0.17700
206,0.18240
207,0.18780
208,0.19320
209,0.19860
210,0.20400
211,0.20940
212,0.21480
213,0.22020
214,0.22560
215,0.23100
216,0.23640
217,0.24180
218,0.24720
219,0.25260
220,0.25800
221,0.26340
222,0.26880
223,0.27420
224,0.27960
225,0.28500
226,0.29040
227,0.29580
228,0.30120
229,0.30660
230,0.31200
231,0.31740
232,0.32280
233,0.32820
234,0.33360
235,0.33900
236,0.34440
237,0.34980
238,0.35520
239,0.36060
240,0.36600
241,0.37140
242,0.37680
243,0.38220
244,0.38760
245,0.39300
246,0.39840
247,0.40380
248,0.40920
249,0.41460
250,0.42000
251,0.42540
252,0.43080
253,0.43620
254,0.44160
255,0.44700
256,0.45240
257,0.45780
258,0.46320
259,0.46860
260,0.47400
261,0.47940
262,0.48480
263,0.49020
264,0.49560
265,0.50100
266,0.50640
267,0.51180
268,0.51720
269,0.52260
270,0.52800
271,0.53340
272,0.53880
273,0.54420
274,0.54960
275,0.55500
276,0.56040
277,0.56580
278,0.57120
279,0.57660
280,0.58200
281,0.58740
282,0.59280
283,0.59820
284,0.60360
285,0.60900
286,0.61440
287,0.61980
288,0.62520
289,0.63060
290,0.63600
291,0.64140
292,0.64680
293,0.65220
294,0.65760
295,0.66300
296,0.66840
297,0.67380
298,0.67920
299,0.68460
300,0.69000
301,0.67140
302,0.65280
303,0.63420
304,0.61560
305,0.59700
306,0.57840
307,0.55980
308,0.54120
309,0.52260
310,0.50400
311,0.48540
312,0.46680
313,0.44820
314,0.42960
315,0.41100
316,0.39240
317,0.37380
318,0.35520
319,0.33660
320,0.31800
321,0.29940
322,0.28080
323,0.26220
324,0.24360
325,0.22500
326,0.20640
327,0.18780
328,0.16920
329,0.15060
330,0.13200
331,0.11340
332,0.09480
333,0.07620
334,0.05760
335,0.03900
336,0.02040
337,0.00180
338,-0.01680
339,-0.03540
340,-0.05400
341,-0.07260
342,-0.09120
343,-0.10980
344,-0.12840
345,-0.14700
346,-0.16560
347,-0.18420
348,-0.20280
349,-0.22140
350,-0.24000
351,-0.25860
352,-0.27720
353,-0.29580
354,-0.31440
355,-0.33300
356,-0.35160
357,-0.37020
358,-0.38880
359,-0.40740
360,-0.42600
361,-0.44460
362,-0.46320
363,-0.48180
364,-0.50040
365,-0.51900
366,-0.53760
367,-0.55620
368,-0.57480
369,-0.59340
370,-0.61200
371,-0.63060
372,-0.64920
373,-0.66780
374,-0.68640
375,-0.70500
376,-0.72360
377,-0.74220
378,-0.76080
379,-0.77940
380,-0.79800
381,-0.81660
382,-0.83520
383,-0.85380
384,-0.87240
385,-0.89100
386,-0.90960
387,-0.92820
388,-0.94680
389,-0.96540
390,-0.98400
391,-1.00260
392,-1.02120
393,-1.03980
394,-1.05840
395,-1.07700
396,-1.09560
397,-1.11420
398,-1.13280
399,-1.15140
400,-1.17000
401,-1.16220
402,-1.15440
403,-1.14660
404,-1.13880
405,-1.13100
406,-1.12320
407,-1.11540
408,-1.10760
409,-1.09980
410,-1.09200
411,-1.08420
412,-1.07640
413,-1.06860
414,-1.06080
415,-1.05300
416,-1.04520
417,-1.03740
418,-1.02960
419,-1.02180
420,-1.01400
421,-1.00620
422,-0.99840
423,-0.99060
424,-0.98280
425,-0.97500
426,-0.96720
427,-0.95940
428,-0.95160
429,-0.94380
430,-0.93600
431,-0.92820
432,-0.92040
433,-0.91260
434,-0.90480
435,-0.89700
436,-0.88920
437,-0.88140
438,-0.87360
439,-0.86580
440,-0.85800
441,-0.85020
442,-0.84240
443,-0.83460
444,-0.82680
445,-0.81900
446,-0.81120
447,-0.80340
448,-0.79560
449,-0.78780
450,-0.78000
451,-0.77220
452,-0.76440
453,-0.75660
454,-0.74880
455,-0.74100
456,-0.73320
457,-0.72540
458,-0.71760
459,-0.70980
460,-0.70200
461,-0.69420
462,-0.68640
463,-0.67860
464,-0.67080
465,-0.66300
466,-0.65520
467,-0.64740
468,-0.63960
469,-0.63180
470,-0.62400
471,-0.61620
472,-0.60840
473,-0.60060
474,-0.59280
475,-0.58500
476,-0.57720
477,-0.56940
478,-0.56160
479,-0.55380
480,-0.54600
481,-0.53820
482,-0.53040
483,-0.52260
484,-0.51480
485,-0.50700
486,-0.49920
487,-0.49140
488,-0.48360
489,-0.47580
490,-0.46800
491,-0.46020
492,-0.45240
493,-0.44460
494,-0.43680
495,-0.42900
496,-0.42120
497,-0.41340
498,-0.40560
499,-0.39780
500,-0.39000
501,-0.38460
502,-0.37920
503,-0.37380
504,-0.36840
505,-0.36300
506,-0.35760
507,-0.35220
508,-0.34680
509,-0.34140
510,-0.33600
511,-0.33060
512,-0.32520
513,-0.31980
514,-0.31440
515,-0.30900
516,-0.30360
517,-0.29820
518,-0.29280
519,-0.28740
520,-0.28200
521,-0.27660
522,-0.27120
523,-0.26580
524,-0.26040
525,-0.25500
526,-0.24960
527,-0.24420
528,-0.23880
529,-0.23340
530,-0.22800
531,-0.22260
532,-0.21720
533,-0.21180
534,-0.20640
535,-0.20100
536,-0.19560
537,-0.19020
538,-0.18480
539,-0.17940
540,-0.17400
541,-0.16860
542,-0.16320
543,-0.15780
544,-0.15240
545,-0.14700
546,-0.14160
547,-0.13620
548,-0.13080
549,-0.12540
550,-0.12000
551,-0.11460
552,-0.10920
553,-0.10380
554,-0.09840
555,-0.09300
556,-0.08760
557,-0.08220
558,-0.07680
559,-0.07140
560,-0.06600
561,-0.06060
562,-0.05520
563,-0.04980
564,-0.04440
565,-0.03900
566,-0.03360
567,-0.02820
568,-0.02280
569,-0.01740
570,-0.01200
571,-0.00660
572,-0.00120
573,0.00420
574,0.00960
575,0.01500
576,0.02040
577,0.02580
578,0.03120
579,0.03660
580,0.04200
581,0.04740
582,0.05280
583,0.05820
584,0.06360
585,0.06900
586,0.07440
587,0.07980
588,0.08520
589,0.09060
590,0.09600
591,0.10140
592,0.10680
593,0.11220
594,0.11760
595,0.12300
596,0.12840
597,0.13380
598,0.13920
599,0.14460
600,0.15000
601,0.15160
602,0.15320
603,0.15480
604,0.15640
605,0.15800
606,0.15960
607,0.16120
608,0.16280
609,0.16440
610,0.16600
611,0.16760
612,0.16920
613,0.17080
614,0.17240
615,0.17400
616,0.17560
617,0.17720
618,0.17880
619,0.18040
620,0.18200
621,0.18360
622,0.18520
623,0.18680
624,0.18840
625,0.19000
626,0.19160
627,0.19320
628,0.19480
629,0.19640
630,0.19800
631,0.19960
632,0.20120
633,0.20280
634,0.20440
635,0.20600
636,0.20760
637,0.20920
638,0.21080
639,0.21240
640,0.21400
641,0.21560
642,0.21720
643,0.21880
644,0.22040
645,0.22200
646,0.22360
647,0.22520
648,0.22680
649,0.22840
650,0.23000
651,0.23160
652,0.23320
653,0.23480
654,0.23640
655,0.23800
656,0.23960
657,0.24120
658,0.24280
659,0.24440
660,0.24600
661,0.24760
662,0.24920
663,0.25080
664,0.25240
665,0.25400
666,0.25560
667,0.25720
668,0.25880
669,0.26040
670,0.26200
671,0.26360
672,0.26520
673,0.26680
674,0.26840
675,0.27000
676,0.27160
677,0.27320
678,0.27480
679,0.27640
680,0.27800
681,0.27960
682,0.28120
683,0.28280
684,0.28440
685,0.28600
686,0.28760
687,0.28920
688,0.29080
689,0.29240
690,0.29400
691,0.29560
692,0.29720
693,0.29880
694,0.30040
695,0.30200
696,0.30360
697,0.30520
698,0.30680
699,0.30840
700,0.31000
701,0.30610
702,0.30220
703,0.29830
704,0.29440
705,0.29050
706,0.28660
707,0.28270
708,0.27880
709,0.27490
710,0.27100
711,0.26710
712,0.26320
713,0.25930
714,0.25540
715,0.25150
716,0.24760
717,0.24370
718,0.23980
719,0.23590
720,0.23200
721,0.22810
722,0.22420
723,0.22030
724,0.21640
725,0.21250
726,0.20860
727,0.20470
728,0.20080
729,0.19690
730,0.19300
731,0.18910
732,0.18520
733,0.18130
734,0.17740
735,0.17350
736,0.16960
737,0.16570
738,0.16180
739,0.15790
740,0.15400
741,0.15010
742,0.14620
743,0.14230
744,0.13840
745,0.13450
746,0.13060
747,0.12670
748,0.12280
749,0.11890
750,0.11500
751,0.11110
752,0.10720
753,0.10330
754,0.09940
755,0.09550
756,0.09160
757,0.08770
758,0.08380
759,0.07990
760,0.07600
761,0.07210
762,0.06820
763,0.06430
764,0.06040
765,0.05650
766,0.05260
767,0.04870
768,0.04480
769,0.04090
770,0.03700
771,0.03310
772,0.02920
773,0.02530
774,0.02140
775,0.01750
776,0.01360
777,0.00970
778,0.00580
779,0.00190
780,-0.00200
781,-0.00590
782,-0.00980
783,-0.01370
784,-0.01760
785,-0.02150
786,-0.02540
787,-0.02930
788,-0.03320
789,-0.03710
790,-0.04100
791,-0.04490
792,-0.04880
793,-0.05270
794,-0.05660
795,-0.06050
796,-0.06440
797,-0.06830
798,-0.07220
799,-0.07610
800,-0.08000
801,-0.08160
802,-0.08320
803,-0.08480
804,-0.08640
805,-0.08800
806,-0.08960
807,-0.09120
808,-0.09280
809,-0.09440
810,-0.09600
811,-0.09760
812,-0.09920
813,-0.10080
814,-0.10240
815,-0.10400
816,-0.10560
817,-0.10720
818,-0.10880
819,-0.11040
820,-0.11200
821,-0.11360
822,-0.11520
823,-0.11680
824,-0.11840
825,-0.12000
826,-0.12160
827,-0.12320
828,-0.12480
829,-0.12640
830,-0.12800
831,-0.12960
832,-0.13120
833,-0.13280
834,-0.13440
835,-0.13600
836,-0.13760
837,-0.13920
838,-0.14080
839,-0.14240
840,-0.14400
841,-0.14560
842,-0.14720
843,-0.14880
844,-0.15040
845,-0.15200
846,-0.15360
847,-0.15520
848,-0.15680
849,-0.15840
850,-0.16000
851,-0.16160
852,-0.16320
853,-0.16480
854,-0.16640
855,-0.16800
856,-0.16960
857,-0.17120
858,-0.17280
859,-0.17440
860,-0.17600
861,-0.17760
862,-0.17920
863,-0.18080
864,-0.18240
865,-0.18400
866,-0.18560
867,-0.18720
868,-0.18880
869,-0.19040
870,-0.19200
871,-0.19360
872,-0.19520
873,-0.19680
