Frequency (Hz),dB (Relative)
20,-0.39000
21,-0.03400
22,0.32200
23,0.67800
24,1.03400
25,1.39000
26,1.74600
27,2.10200
28,2.45800
29,2.81400
30,3.17000
31,3.15500
32,3.14000
33,3.12500
34,3.11000
35,3.09500
36,3.08000
37,3.06500
38,3.05000
39,3.03500
40,3.02000
41,2.93500
42,2.85000
43,2.76500
44,2.68000
45,2.59500
46,2.51000
47,2.42500
48,2.34000
49,2.25500
50,2.17000
51,2.11500
52,2.06000
53,2.00500
54,1.95000
55,1.89500
56,1.84000
57,1.78500
58,1.73000
59,1.67500
60,1.62000
61,1.57400
62,1.52800
63,1.48200
64,1.43600
65,1.39000
66,1.34400
67,1.29800
68,1.25200
69,1.20600
70,1.16000
71,1.12900
72,1.09800
73,1.06700
74,1.03600
75,1.00500
76,0.97400
77,0.94300
78,0.91200
79,0.88100
80,0.85000
81,0.81900
82,0.78800
83,0.75700
84,0.72600
85,0.69500
86,0.66400
87,0.63300
88,0.60200
89,0.57100
90,0.54000
91,0.52400
92,0.50800
93,0.49200
94,0.47600
95,0.46000
96,0.44400
97,0.42800
98,0.41200
99,0.39600
100,0.38000
101,0.36620
102,0.35240
103,0.33860
104,0.32480
105,0.31100
106,0.29720
107,0.28340
108,0.26960
109,0.25580
110,0.24200
111,0.22820
112,0.21440
113,0.20060
114,0.18680
115,0.17300
116,0.15920
117,0.14540
118,0.13160
119,0.11780
120,0.10400
121,0.09020
122,0.07640
123,0.06260
124,0.04880
125,0.03500
126,0.02120
127,0.00740
128,-0.00640
129,-0.02020
130,-0.03400
131,-0.04780
132,-0.06160
133,-0.07540
134,-0.08920
135,-0.10300
136,-0.11680
137,-0.13060
138,-0.14440
139,-0.15820
140,-0.17200
141,-0.18580
142,-0.19960
143,-0.21340
144,-0.22720
145,-0.24100
146,-0.25480
147,-0.26860
148,-0.28240
149,-0.29620
150,-0.31000
151,-0.31780
152,-0.32560
153,-0.33340
154,-0.34120
155,-0.34900
156,-0.35680
157,-0.36460
158,-0.37240
159,-0.38020
160,-0.38800
161,-0.39580
162,-0.40360
163,-0.41140
164,-0.41920
165,-0.42700
166,-0.43480
167,-0.44260
168,-0.45040
169,-0.45820
170,-0.46600
171,-0.47380
172,-0.48160
173,-0.48940
174,-0.49720
175,-0.50500
176,-0.51280
177,-0.52060
178,-0.52840
179,-0.53620
180,-0.54400
181,-0.55180
182,-0.55960
183,-0.56740
184,-0.57520
185,-0.58300
186,-0.59080
187,-0.59860
188,-0.60640
189,-0.61420
190,-0.62200
191,-0.62980
192,-0.63760
193,-0.64540
194,-0.65320
195,-0.66100
196,-0.66880
197,-0.67660
198,-0.68440
199,-0.69220
200,-0.70000
201,-0.70240
202,-0.70480
203,-0.70720
204,-0.70960
205,-0.71200
206,-0.71440
207,-0.71680
208,-0.71920
209,-0.72160
210,-0.72400
211,-0.72640
212,-0.72880
213,-0.73120
214,-0.73360
215,-0.73600
216,-0.73840
217,-0.74080
218,-0.74320
219,-0.74560
220,-0.74800
221,-0.75040
222,-0.75280
223,-0.75520
224,-0.75760
225,-0.76000
226,-0.76240
227,-0.76480
228,-0.76720
229,-0.76960
230,-0.77200
231,-0.77440
232,-0.77680
233,-0.77920
234,-0.78160
235,-0.78400
236,-0.78640
237,-0.78880
238,-0.79120
239,-0.79360
240,-0.79600
241,-0.79840
242,-0.80080
243,-0.80320
244,-0.80560
245,-0.80800
246,-0.81040
247,-0.81280
248,-0.81520
249,-0.81760
250,-0.82000
251,-0.82240
252,-0.82480
253,-0.82720
254,-0.82960
255,-0.83200
256,-0.83440
257,-0.83680
258,-0.83920
259,-0.84160
260,-0.84400
261,-0.84640
262,-0.84880
263,-0.85120
264,-0.85360
265,-0.85600
266,-0.85840
267,-0.86080
268,-0.86320
269,-0.86560
270,-0.86800
271,-0.87040
272,-0.87280
273,-0.87520
274,-0.87760
275,-0.88000
276,-0.88240
277,-0.88480
278,-0.88720
279,-0.88960
280,-0.89200
281,-0.89440
282,-0.89680
283,-0.89920
284,-0.90160
285,-0.90400
286,-0.90640
287,-0.90880
288,-0.91120
289,-0.91360
290,-0.91600
291,-0.91840
292,-0.92080
293,-0.92320
294,-0.92560
295,-0.92800
296,-0.93040
297,-0.93280
298,-0.93520
299,-0.93760
300,-0.94000
301,-0.93530
302,-0.93060
303,-0.92590
304,-0.92120
305,-0.91650
306,-0.91180
307,-0.90710
308,-0.90240
309,-0.89770
310,-0.89300
311,-0.88830
312,-0.88360
313,-0.87890
314,-0.87420
315,-0.86950
316,-0.86480
317,-0.86010
318,-0.85540
319,-0.85070
320,-0.84600
321,-0.84130
322,-0.83660
323,-0.83190
324,-0.82720
325,-0.82250
326,-0.81780
327,-0.81310
328,-0.80840
329,-0.80370
330,-0.79900
331,-0.79430
332,-0.78960
333,-0.78490
334,-0.78020
335,-0.77550
336,-0.77080
337,-0.76610
338,-0.76140
339,-0.75670
340,-0.75200
341,-0.74730
342,-0.74260
343,-0.73790
344,-0.73320
345,-0.72850
346,-0.72380
347,-0.71910
348,-0.71440
349,-0.70970
350,-0.70500
351,-0.70030
352,-0.69560
353,-0.69090
354,-0.68620
355,-0.68150
356,-0.67680
357,-0.67210
358,-0.66740
359,-0.66270
360,-0.65800
361,-0.65330
362,-0.64860
363,-0.64390
364,-0.63920
365,-0.63450
366,-0.62980
367,-0.62510
368,-0.62040
369,-0.61570
370,-0.61100
371,-0.60630
372,-0.60160
373,-0.59690
374,-0.59220
375,-0.58750
376,-0.58280
377,-0.57810
378,-0.57340
379,-0.56870
380,-0.56400
381,-0.55930
382,-0.55460
383,-0.54990
384,-0.54520
385,-0.54050
386,-0.53580
387,-0.53110
388,-0.52640
389,-0.52170
390,-0.51700
391,-0.51230
392,-0.50760
393,-0.50290
394,-0.49820
395,-0.49350
396,-0.48880
397,-0.48410
398,-0.47940
399,-0.47470
400,-0.47000
401,-0.46300
402,-0.45600
403,-0.44900
404,-0.44200
405,-0.43500
406,-0.42800
407,-0.42100
408,-0.41400
409,-0.40700
410,-0.40000
411,-0.39300
412,-0.38600
413,-0.37900
414,-0.37200
415,-0.36500
416,-0.35800
417,-0.35100
418,-0.34400
419,-0.33700
420,-0.33000
421,-0.32300
422,-0.31600
423,-0.30900
424,-0.30200
425,-0.29500
426,-0.28800
427,-0.28100
428,-0.27400
429,-0.26700
430,-0.26000
431,-0.25300
432,-0.24600
433,-0.23900
434,-0.23200
435,-0.22500
436,-0.21800
437,-0.21100
438,-0.20400
439,-0.19700
440,-0.19000
441,-0.18300
442,-0.17600
443,-0.16900
444,-0.16200
445,-0.15500
446,-0.14800
447,-0.14100
448,-0.13400
449,-0.12700
450,-0.12000
451,-0.11300
452,-0.10600
453,-0.09900
454,-0.09200
455,-0.08500
456,-0.07800
457,-0.07100
458,-0.06400
459,-0.05700
460,-0.05000
461,-0.04300
462,-0.03600
463,-0.02900
464,-0.02200
465,-0.01500
466,-0.00800
467,-0.00100
468,0.00600
469,0.01300
470,0.02000
471,0.02700
472,0.03400
473,0.04100
474,0.04800
475,0.05500
476,0.06200
477,0.06900
478,0.07600
479,0.08300
480,0.09000
481,0.09700
482,0.10400
483,0.11100
484,0.11800
485,0.12500
486,0.13200
487,0.13900
488,0.14600
489,0.15300
490,0.16000
491,0.16700
492,0.17400
493,0.18100
494,0.18800
495,0.19500
496,0.20200
497,0.20900
498,0.21600
499,0.22300
500,0.23000
501,0.23390
502,0.23780
503,0.24170
504,0.24560
505,0.24950
506,0.25340
507,0.25730
508,0.26120
509,0.26510
510,0.26900
511,0.27290
512,0.27680
513,0.28070
514,0.28460
515,0.28850
516,0.29240
517,0.29630
518,0.30020
519,0.30410
520,0.30800
521,0.31190
522,0.31580
523,0.31970
524,0.32360
525,0.32750
526,0.33140
527,0.33530
528,0.33920
529,0.34310
530,0.34700
531,0.35090
532,0.35480
533,0.35870
534,0.36260
535,0.36650
536,0.37040
537,0.37430
538,0.37820
539,0.38210
540,0.38600
541,0.38990
542,0.39380
543,0.39770
544,0.40160
545,0.40550
546,0.40940
547,0.41330
548,0.41720
549,0.42110
550,0.42500
551,0.42890
552,0.43280
553,0.43670
554,0.44060
555,0.44450
556,0.44840
557,0.45230
558,0.45620
559,0.46010
560,0.46400
561,0.46790
562,0.47180
563,0.47570
564,0.47960
565,0.48350
566,0.48740
567,0.49130
568,0.49520
569,0.49910
570,0.50300
571,0.50690
572,0.51080
573,0.51470
574,0.51860
575,0.52250
576,0.52640
577,0.53030
578,0.53420
579,0.53810
580,0.54200
581,0.54590
582,0.54980
583,0.55370
584,0.55760
585,0.56150
586,0.56540
587,0.56930
588,0.57320
589,0.57710
590,0.58100
591,0.58490
592,0.58880
593,0.59270
594,0.59660
595,0.60050
596,0.60440
597,0.60830
598,0.61220
599,0.61610
600,0.62000
601,0.62230
602,0.62460
603,0.62690
604,0.62920
605,0.63150
606,0.63380
607,0.63610
608,0.63840
609,0.64070
610,0.64300
611,0.64530
612,0.64760
613,0.64990
614,0.65220
615,0.65450
616,0.65680
617,0.65910
618,0.66140
619,0.66370
620,0.66600
621,0.66830
622,0.67060
623,0.67290
624,0.67520
625,0.67750
626,0.67980
627,0.68210
628,0.68440
629,0.68670
630,0.68900
631,0.69130
632,0.69360
633,0.69590
634,0.69820
635,0.70050
636,0.70280
637,0.70510
638,0.70740
639,0.70970
640,0.71200
641,0.71430
642,0.71660
643,0.71890
644,0.72120
645,0.72350
646,0.72580
647,0.72810
648,0.73040
649,0.73270
650,0.73500
651,0.73730
652,0.73960
653,0.74190
654,0.74420
655,0.74650
656,0.74880
657,0.75110
658,0.75340
659,0.75570
660,0.75800
661,0.76030
662,0.76260
663,0.76490
664,0.76720
665,0.76950
666,0.77180
667,0.77410
668,0.77640
669,0.77870
670,0.78100
671,0.78330
672,0.78560
673,0.78790
674,0.79020
675,0.79250
676,0.79480
677,0.79710
678,0.79940
679,0.80170
680,0.80400
681,0.80630
682,0.80860
683,0.81090
684,0.81320
685,0.81550
686,0.81780
687,0.82010
688,0.82240
689,0.82470
690,0.82700
691,0.82930
692,0.83160
693,0.83390
694,0.83620
695,0.83850
696,0.84080
697,0.84310
698,0.84540
699,0.84770
700,0.85000
701,0.85460
702,0.85920
703,0.86380
704,0.86840
705,0.87300
706,0.87760
707,0.88220
708,0.88680
709,0.89140
710,0.89600
711,0.90060
712,0.90520
713,0.90980
714,0.91440
715,0.91900
716,0.92360
717,0.92820
718,0.93280
719,0.93740
720,0.94200
721,0.94660
722,0.95120
723,0.95580
724,0.96040
725,0.96500
726,0.96960
727,0.97420
728,0.97880
729,0.98340
730,0.98800
731,0.99260
732,0.99720
733,1.00180
734,1.00640
735,1.01100
736,1.01560
737,1.02020
738,1.02480
739,1.02940
740,1.03400
741,1.03860
742,1.04320
743,1.04780
744,1.05240
745,1.05700
746,1.06160
747,1.06620
748,1.07080
749,1.07540
750,1.08000
751,1.08460
752,1.08920
753,1.09380
754,1.09840
755,1.10300
756,1.10760
757,1.11220
758,1.11680
759,1.12140
760,1.12600
761,1.13060
762,1.13520
763,1.13980
764,1.14440
765,1.14900
766,1.15360
767,1.15820
768,1.16280
769,1.16740
770,1.17200
