Frequency (Hz),dB (Relative)
20,-10.86000
21,-10.26300
22,-9.66600
23,-9.06900
24,-8.47200
25,-7.87500
26,-7.27800
27,-6.68100
28,-6.08400
29,-5.48700
30,-4.89000
31,-4.66500
32,-4.44000
33,-4.21500
34,-3.99000
35,-3.76500
36,-3.54000
37,-3.31500
38,-3.09000
39,-2.86500
40,-2.64000
41,-1.08200
42,0.47600
43,2.03400
44,3.59200
45,5.15000
46,6.70800
47,8.26600
48,9.82400
49,11.38200
50,12.94000
51,12.75400
52,12.56800
53,12.38200
54,12.19600
55,12.01000
56,11.82400
57,11.63800
58,11.45200
59,11.26600
60,11.08000
61,10.89400
62,10.70800
63,10.52200
64,10.33600
65,10.15000
66,9.96400
67,9.77800
68,9.59200
69,9.40600
70,9.22000
71,9.08100
72,8.94200
73,8.80300
74,8.66400
75,8.52500
76,8.38600
77,8.24700
78,8.10800
79,7.96900
80,7.83000
81,7.69800
82,7.56600
83,7.43400
84,7.30200
85,7.17000
86,7.03800
87,6.90600
88,6.77400
89,6.64200
90,6.51000
91,6.38600
92,6.26200
93,6.13800
94,6.01400
95,5.89000
96,5.76600
97,5.64200
98,5.51800
99,5.39400
100,5.27000
101,5.17220
102,5.07440
103,4.97660
104,4.87880
105,4.78100
106,4.68320
107,4.58540
108,4.48760
109,4.38980
110,4.29200
111,4.19420
112,4.09640
113,3.99860
114,3.90080
115,3.80300
116,3.70520
117,3.60740
118,3.50960
119,3.41180
120,3.31400
121,3.21620
122,3.11840
123,3.02060
124,2.92280
125,2.82500
126,2.72720
127,2.62940
128,2.53160
129,2.43380
130,2.33600
131,2.23820
132,2.14040
133,2.04260
134,1.94480
135,1.84700
136,1.74920
137,1.65140
138,1.55360
139,1.45580
140,1.35800
141,1.26020
142,1.16240
143,1.06460
144,0.96680
145,0.86900
146,0.77120
147,0.67340
148,0.57560
149,0.47780
150,0.38000
151,0.32260
152,0.26520
153,0.20780
154,0.15040
155,0.09300
156,0.03560
157,-0.02180
158,-0.07920
159,-0.13660
160,-0.19400
161,-0.25140
162,-0.30880
163,-0.36620
164,-0.42360
165,-0.48100
166,-0.53840
167,-0.59580
168,-0.65320
169,-0.71060
170,-0.76800
171,-0.82540
172,-0.88280
173,-0.94020
174,-0.99760
175,-1.05500
176,-1.11240
177,-1.16980
178,-1.22720
179,-1.28460
180,-1.34200
181,-1.39940
182,-1.45680
183,-1.51420
184,-1.57160
185,-1.62900
186,-1.68640
187,-1.74380
188,-1.80120
189,-1.85860
190,-1.91600
191,-1.97340
192,-2.03080
193,-2.08820
194,-2.14560
195,-2.20300
196,-2.26040
197,-2.31780
198,-2.37520
199,-2.43260
200,-2.49000
201,-2.51550
202,-2.54100
203,-2.56650
204,-2.59200
205,-2.61750
206,-2.64300
207,-2.66850
208,-2.69400
209,-2.71950
210,-2.74500
211,-2.77050
212,-2.79600
213,-2.82150
214,-2.84700
215,-2.87250
216,-2.89800
217,-2.92350
218,-2.94900
219,-2.97450
220,-3.00000
221,-3.02550
222,-3.05100
223,-3.07650
224,-3.10200
225,-3.12750
226,-3.15300
227,-3.17850
228,-3.20400
229,-3.22950
230,-3.25500
231,-3.28050
232,-3.30600
233,-3.33150
234,-3.35700
235,-3.38250
236,-3.40800
237,-3.43350
238,-3.45900
239,-3.48450
240,-3.51000
241,-3.53550
242,-3.56100
243,-3.58650
244,-3.61200
245,-3.63750
246,-3.66300
247,-3.68850
248,-3.71400
249,-3.73950
250,-3.76500
251,-3.79050
252,-3.81600
253,-3.84150
254,-3.86700
255,-3.89250
256,-3.91800
257,-3.94350
258,-3.96900
259,-3.99450
260,-4.02000
261,-4.04550
262,-4.07100
263,-4.09650
264,-4.12200
265,-4.14750
266,-4.17300
267,-4.19850
268,-4.22400
269,-4.24950
270,-4.27500
271,-4.30050
272,-4.32600
273,-4.35150
274,-4.37700
275,-4.40250
276,-4.42800
277,-4.45350
278,-4.47900
279,-4.50450
280,-4.53000
281,-4.55550
282,-4.58100
283,-4.60650
284,-4.63200
285,-4.65750
286,-4.68300
287,-4.70850
288,-4.73400
289,-4.75950
290,-4.78500
291,-4.81050
292,-4.83600
293,-4.86150
294,-4.88700
295,-4.91250
296,-4.93800
297,-4.96350
298,-4.98900
299,-5.01450
300,-5.04000
301,-5.06250
302,-5.08500
303,-5.10750
304,-5.13000
305,-5.15250
306,-5.17500
307,-5.19750
308,-5.22000
309,-5.24250
310,-5.26500
311,-5.28750
312,-5.31000
313,-5.33250
314,-5.35500
315,-5.37750
316,-5.40000
317,-5.42250
318,-5.44500
319,-5.46750
320,-5.49000
321,-5.51250
322,-5.53500
323,-5.55750
324,-5.58000
325,-5.60250
326,-5.62500
327,-5.64750
328,-5.67000
329,-5.69250
330,-5.71500
331,-5.73750
332,-5.76000
333,-5.78250
334,-5.80500
335,-5.82750
336,-5.85000
337,-5.87250
338,-5.89500
339,-5.91750
340,-5.94000
341,-5.96250
342,-5.98500
343,-6.00750
344,-6.03000
345,-6.05250
346,-6.07500
347,-6.09750
348,-6.12000
349,-6.14250
350,-6.16500
351,-6.18750
352,-6.21000
353,-6.23250
354,-6.25500
355,-6.27750
356,-6.30000
357,-6.32250
358,-6.34500
359,-6.36750
360,-6.39000
361,-6.41250
362,-6.43500
363,-6.45750
364,-6.48000
365,-6.50250
366,-6.52500
367,-6.54750
368,-6.57000
369,-6.59250
370,-6.61500
371,-6.63750
372,-6.66000
373,-6.68250
374,-6.70500
375,-6.72750
376,-6.75000
377,-6.77250
378,-6.79500
379,-6.81750
380,-6.84000
381,-6.86250
382,-6.88500
383,-6.90750
384,-6.93000
385,-6.95250
386,-6.97500
387,-6.99750
388,-7.02000
389,-7.04250
390,-7.06500
391,-7.08750
392,-7.11000
393,-7.13250
394,-7.15500
395,-7.17750
396,-7.20000
397,-7.22250
398,-7.24500
399,-7.26750
400,-7.29000
401,-7.27690
402,-7.26380
403,-7.25070
404,-7.23760
405,-7.22450
406,-7.21140
407,-7.19830
408,-7.18520
409,-7.17210
410,-7.15900
411,-7.14590
412,-7.13280
413,-7.11970
414,-7.10660
415,-7.09350
416,-7.08040
417,-7.06730
418,-7.05420
419,-7.04110
420,-7.02800
421,-7.01490
422,-7.00180
423,-6.98870
424,-6.97560
425,-6.96250
426,-6.94940
427,-6.93630
428,-6.92320
429,-6.91010
430,-6.89700
431,-6.88390
432,-6.87080
433,-6.85770
434,-6.84460
435,-6.83150
436,-6.81840
437,-6.80530
438,-6.79220
439,-6.77910
440,-6.76600
441,-6.75290
442,-6.73980
443,-6.72670
444,-6.71360
445,-6.70050
446,-6.68740
447,-6.67430
448,-6.66120
449,-6.64810
450,-6.63500
451,-6.62190
452,-6.60880
453,-6.59570
454,-6.58260
455,-6.56950
456,-6.55640
457,-6.54330
458,-6.53020
459,-6.51710
460,-6.50400
461,-6.49090
462,-6.47780
463,-6.46470
464,-6.45160
465,-6.43850
466,-6.42540
467,-6.41230
468,-6.39920
469,-6.38610
470,-6.37300
471,-6.35990
472,-6.34680
473,-6.33370
474,-6.32060
475,-6.30750
476,-6.29440
477,-6.28130
478,-6.26820
479,-6.25510
480,-6.24200
481,-6.22890
482,-6.21580
483,-6.20270
484,-6.18960
485,-6.17650
486,-6.16340
487,-6.15030
488,-6.13720
489,-6.12410
490,-6.11100
491,-6.09790
492,-6.08480
493,-6.07170
494,-6.05860
495,-6.04550
496,-6.03240
497,-6.01930
498,-6.00620
499,-5.99310
500,-5.98000
501,-5.95510
502,-5.93020
503,-5.90530
504,-5.88040
505,-5.85550
506,-5.83060
507,-5.80570
508,-5.78080
509,-5.75590
510,-5.73100
511,-5.70610
512,-5.68120
513,-5.65630
514,-5.63140
515,-5.60650
516,-5.58160
517,-5.55670
518,-5.53180
519,-5.50690
520,-5.48200
521,-5.45710
522,-5.43220
523,-5.40730
524,-5.38240
525,-5.35750
526,-5.33260
527,-5.30770
528,-5.28280
529,-5.25790
530,-5.23300
531,-5.20810
532,-5.18320
533,-5.15830
534,-5.13340
535,-5.10850
536,-5.08360
537,-5.05870
538,-5.03380
539,-5.00890
540,-4.98400
541,-4.95910
542,-4.93420
543,-4.90930
544,-4.88440
545,-4.85950
546,-4.83460
547,-4.80970
548,-4.78480
549,-4.75990
550,-4.73500
551,-4.71010
552,-4.68520
553,-4.66030
554,-4.63540
555,-4.61050
556,-4.58560
557,-4.56070
558,-4.53580
559,-4.51090
560,-4.48600
561,-4.46110
562,-4.43620
563,-4.41130
564,-4.38640
565,-4.36150
566,-4.33660
567,-4.31170
568,-4.28680
569,-4.26190
570,-4.23700
571,-4.21210
572,-4.18720
573,-4.16230
574,-4.13740
575,-4.11250
576,-4.08760
577,-4.06270
578,-4.03780
579,-4.01290
580,-3.98800
581,-3.96310
582,-3.93820
583,-3.91330
584,-3.88840
585,-3.86350
586,-3.83860
587,-3.81370
588,-3.78880
589,-3.76390
590,-3.73900
591,-3.71410
592,-3.68920
593,-3.66430
594,-3.63940
595,-3.61450
596,-3.58960
597,-3.56470
598,-3.53980
599,-3.51490
600,-3.49000
601,-3.46060
602,-3.43120
603,-3.40180
604,-3.37240
605,-3.34300
606,-3.31360
607,-3.28420
608,-3.25480
609,-3.22540
610,-3.19600
611,-3.16660
612,-3.13720
613,-3.10780
614,-3.07840
615,-3.04900
616,-3.01960
617,-2.99020
618,-2.96080
619,-2.93140
620,-2.90200
621,-2.87260
622,-2.84320
623,-2.81380
624,-2.78440
625,-2.75500
626,-2.72560
627,-2.69620
628,-2.66680
629,-2.63740
630,-2.60800
631,-2.57860
632,-2.54920
633,-2.51980
634,-2.49040
635,-2.46100
636,-2.43160
637,-2.40220
638,-2.37280
639,-2.34340
640,-2.31400
641,-2.28460
642,-2.25520
643,-2.22580
644,-2.19640
645,-2.16700
646,-2.13760
647,-2.10820
648,-2.07880
649,-2.04940
650,-2.02000
651,-1.99060
652,-1.96120
653,-1.93180
654,-1.90240
655,-1.87300
656,-1.84360
657,-1.81420
658,-1.78480
659,-1.75540
660,-1.72600
661,-1.69660
662,-1.66720
663,-1.63780
664,-1.60840
665,-1.57900
666,-1.54960
667,-1.52020
668,-1.49080
669,-1.46140
670,-1.43200
671,-1.40260
672,-1.37320
673,-1.34380
674,-1.31440
675,-1.28500
676,-1.25560
677,-1.22620
678,-1.19680
679,-1.16740
680,-1.13800
681,-1.10860
682,-1.07920
683,-1.04980
684,-1.02040
685,-0.99100
686,-0.96160
687,-0.93220
688,-0.90280
689,-0.87340
690,-0.84400
691,-0.81460
692,-0.78520
693,-0.75580
694,-0.72640
695,-0.69700
696,-0.66760
697,-0.63820
698,-0.60880
699,-0.57940
700,-0.55000
701,-0.52360
702,-0.49720
703,-0.47080
704,-0.44440
705,-0.41800
706,-0.39160
707,-0.36520
708,-0.33880
709,-0.31240
710,-0.28600
711,-0.25960
712,-0.23320
713,-0.20680
714,-0.18040
715,-0.15400
716,-0.12760
717,-0.10120
718,-0.07480
719,-0.04840
720,-0.02200
721,0.00440
722,0.03080
723,0.05720
724,0.08360
725,0.11000
726,0.13640
727,0.16280
728,0.18920
729,0.21560
730,0.24200
731,0.26840
732,0.29480
733,0.32120
734,0.34760
735,0.37400
736,0.40040
737,0.42680
738,0.45320
739,0.47960
740,0.50600
741,0.53240
742,0.55880
743,0.58520
744,0.61160
745,0.63800
746,0.66440
747,0.69080
748,0.71720
749,0.74360
750,0.77000
751,0.79640
752,0.82280
753,0.84920
754,0.87560
755,0.90200
756,0.92840
757,0.95480
758,0.98120
759,1.00760
760,1.03400
761,1.06040
762,1.08680
763,1.11320
764,1.13960
765,1.16600
766,1.19240
767,1.21880
768,1.24520
769,1.27160
770,1.29800
771,1.32440
772,1.35080
773,1.37720
774,1.40360
775,1.43000
776,1.45640
777,1.48280
778,1.50920
779,1.53560
780,1.56200
781,1.58840
782,1.61480
783,1.64120
784,1.66760
785,1.69400
786,1.72040
787,1.74680
788,1.77320
789,1.79960
790,1.82600
791,1.85240
792,1.87880
793,1.90520
794,1.93160
795,1.95800
796,1.98440
797,2.01080
798,2.03720
799,2.06360
800,2.09000
801,2.10700
802,2.12400
803,2.14100
804,2.15800
805,2.17500
806,2.19200
807,2.20900
808,2.22600
809,2.24300
810,2.26000
811,2.27700
812,2.29400
813,2.31100
814,2.32800
815,2.34500
816,2.36200
817,2.37900
818,2.39600
819,2.41300
820,2.43000
821,2.44700
822,2.46400
823,2.48100
824,2.49800
825,2.51500
826,2.53200
827,2.54900
828,2.56600
829,2.58300
830,2.60000
831,2.61700
832,2.63400
833,2.65100
834,2.66800
835,2.68500
836,2.70200
837,2.71900
838,2.73600
839,2.75300
840,2.77000
841,2.78700
842,2.80400
843,2.82100
844,2.83800
845,2.85500
846,2.87200
847,2.88900
848,2.90600
849,2.92300
850,2.94000
851,2.95700
852,2.97400
853,2.99100
854,3.00800
855,3.02500
856,3.04200
857,3.05900
858,3.07600
859,3.09300
860,3.11000
861,3.12700
862,3.14400
863,3.16100
864,3.17800
865,3.19500
866,3.21200
867,3.22900
868,3.24600
869,3.26300
870,3.28000
871,3.29700
872,3.31400
873,3.33100
874,3.34800
875,3.36500
876,3.38200
877,3.39900
878,3.41600
879,3.43300
880,3.45000
881,3.46700
882,3.48400
883,3.50100
884,3.51800
885,3.53500
886,3.55200
887,3.56900
888,3.58600
889,3.60300
890,3.62000
891,3.63700
892,3.65400
893,3.67100
894,3.68800
895,3.70500
896,3.72200
897,3.73900
898,3.75600
899,3.77300
900,3.79000
901,3.78310
902,3.77620
903,3.76930
904,3.76240
905,3.75550
906,3.74860
907,3.74170
908,3.73480
909,3.72790
910,3.72100
911,3.71410
912,3.70720
913,3.70030
914,3.69340
915,3.68650
916,3.67960
917,3.67270
918,3.66580
919,3.65890
920,3.65200
921,3.64510
922,3.63820
923,3.63130
924,3.62440
925,3.61750
926,3.61060
927,3.60370
928,3.59680
929,3.58990
930,3.58300
931,3.57610
932,3.56920
933,3.56230
934,3.55540
935,3.54850
936,3.54160
937,3.53470
938,3.52780
939,3.52090
940,3.51400
941,3.50710
942,3.50020
943,3.49330
944,3.48640
945,3.47950
946,3.47260
947,3.46570
948,3.45880
949,3.45190
950,3.44500
951,3.43810
952,3.43120
