Frequency (Hz),dB (Relative)
20,7.52000
21,8.76800
22,10.01600
23,11.26400
24,12.51200
25,13.76000
26,15.00800
27,17.25600
28,20.50400
29,22.75200
30,24.00000
31,23.5.62800
32,22.25600
33,19.88400
34,18.51200
35,18.14000
36,17.76800
37,17.39600
38,17.02400
39,16.65200
40,16.28000
41,15.77600
42,15.27200
43,14.76800
44,14.26400
45,13.76000
46,13.25600
47,12.75200
48,12.24800
49,11.74400
50,11.24000
51,11.03000
52,10.82000
53,10.61000
54,10.40000
55,10.19000
56,9.98000
57,9.77000
58,9.56000
59,9.35000
60,9.14000
61,9.02400
62,8.90800
63,8.79200
64,8.67600
65,8.56000
66,8.44400
67,8.32800
68,8.21200
69,8.09600
70,7.98000
71,7.89500
72,7.81000
73,7.72500
74,7.64000
75,7.55500
76,7.47000
77,7.38500
78,7.30000
79,7.21500
80,7.13000
81,7.07600
82,7.02200
83,6.96800
84,6.91400
85,6.86000
86,6.80600
87,6.75200
88,6.69800
89,6.64400
90,6.59000
91,6.55100
92,6.51200
93,6.47300
94,6.43400
95,6.39500
96,6.35600
97,6.31700
98,6.27800
99,6.23900
100,6.20000
101,6.13480
102,6.06960
103,6.00440
104,5.93920
105,5.87400
106,5.80880
107,5.74360
108,5.67840
109,5.61320
110,5.54800
111,5.48280
112,5.41760
113,5.35240
114,5.28720
115,5.22200
116,5.15680
117,5.09160
118,5.02640
119,4.96120
120,4.89600
121,4.83080
122,4.76560
123,4.70040
124,4.63520
125,4.57000
126,4.50480
127,4.43960
128,4.37440
129,4.30920
130,4.24400
131,4.17880
132,4.11360
133,4.04840
134,3.98320
135,3.91800
136,3.85280
137,3.78760
138,3.72240
139,3.65720
140,3.59200
141,3.52680
142,3.46160
143,3.39640
144,3.33120
145,3.26600
146,3.20080
147,3.13560
148,3.07040
149,3.00520
150,2.94000
151,2.86860
152,2.79720
153,2.72580
154,2.65440
155,2.58300
156,2.51160
157,2.44020
158,2.36880
159,2.29740
160,2.22600
161,2.15460
162,2.08320
163,2.01180
164,1.94040
165,1.86900
166,1.79760
