Frequency (Hz),dB (Relative)
20,2.55000
21,2.79900
22,3.04800
23,3.29700
24,3.54600
25,3.79500
26,4.04400
27,4.29300
28,4.54200
29,4.79100
30,5.04000
31,5.07100
32,5.10200
33,5.13300
34,5.16400
35,5.19500
36,5.22600
37,5.25700
38,5.28800
39,5.31900
40,5.35000
41,5.29500
42,5.24000
43,5.18500
44,5.13000
45,5.07500
46,5.02000
47,4.96500
48,4.91000
49,4.85500
50,4.80000
51,4.83100
52,4.86200
53,4.89300
54,4.92400
55,4.95500
56,4.98600
57,5.01700
58,5.04800
59,5.07900
60,5.11000
61,5.07200
62,5.03400
63,4.99600
64,4.95800
65,4.92000
66,4.88200
67,4.84400
68,4.80600
69,4.76800
70,4.73000
71,4.71400
72,4.69800
73,4.68200
74,4.66600
75,4.65000
76,4.63400
77,4.61800
78,4.60200
79,4.58600
80,4.57000
81,4.59300
82,4.61600
83,4.63900
84,4.66200
85,4.68500
86,4.70800
87,4.73100
88,4.75400
89,4.77700
90,4.80000
91,4.76100
92,4.72200
93,4.68300
94,4.64400
95,4.60500
96,4.56600
97,4.52700
98,4.48800
99,4.44900
100,4.41000
101,4.41160
102,4.41320
103,4.41480
104,4.41640
105,4.41800
106,4.41960
107,4.42120
108,4.42280
109,4.42440
110,4.42600
111,4.42760
112,4.42920
113,4.43080
114,4.43240
115,4.43400
116,4.43560
117,4.43720
118,4.43880
119,4.44040
120,4.44200
121,4.44360
122,4.44520
123,4.44680
124,4.44840
125,4.45000
126,4.45160
127,4.45320
128,4.45480
129,4.45640
130,4.45800
131,4.45960
132,4.46120
133,4.46280
134,4.46440
135,4.46600
136,4.46760
137,4.46920
138,4.47080
139,4.47240
140,4.47400
141,4.47560
142,4.47720
143,4.47880
144,4.48040
145,4.48200
146,4.48360
147,4.48520
148,4.48680
149,4.48840
150,4.49000
151,4.46520
152,4.44040
153,4.41560
154,4.39080
155,4.36600
156,4.34120
157,4.31640
158,4.29160
159,4.26680
160,4.24200
161,4.21720
162,4.19240
163,4.16760
164,4.14280
165,4.11800
166,4.09320
167,4.06840
168,4.04360
169,4.01880
170,3.99400
171,3.96920
172,3.94440
173,3.91960
174,3.89480
175,3.87000
176,3.84520
177,3.82040
178,3.79560
179,3.77080
180,3.74600
181,3.72120
182,3.69640
183,3.67160
184,3.64680
185,3.62200
186,3.59720
187,3.57240
188,3.54760
189,3.52280
190,3.49800
191,3.47320
192,3.44840
193,3.42360
194,3.39880
195,3.37400
196,3.34920
197,3.32440
198,3.29960
199,3.27480
200,3.25000
201,3.24920
202,3.24840
203,3.24760
204,3.24680
205,3.24600
206,3.24520
207,3.24440
208,3.24360
209,3.24280
210,3.24200
211,3.24120
212,3.24040
213,3.23960
214,3.23880
215,3.23800
216,3.23720
217,3.23640
218,3.23560
219,3.23480
220,3.23400
221,3.23320
222,3.23240
223,3.23160
224,3.23080
225,3.23000
226,3.22920
227,3.22840
228,3.22760
229,3.22680
230,3.22600
231,3.22520
232,3.22440
233,3.22360
234,3.22280
235,3.22200
236,3.22120
237,3.22040
238,3.21960
239,3.21880
240,3.21800
241,3.21720
242,3.21640
243,3.21560
244,3.21480
245,3.21400
246,3.21320
247,3.21240
248,3.21160
249,3.21080
250,3.21000
251,3.20920
252,3.20840
253,3.20760
254,3.20680
255,3.20600
256,3.20520
257,3.20440
258,3.20360
259,3.20280
260,3.20200
261,3.20120
262,3.20040
263,3.19960
264,3.19880
265,3.19800
266,3.19720
267,3.19640
268,3.19560
269,3.19480
270,3.19400
271,3.19320
272,3.19240
273,3.19160
274,3.19080
275,3.19000
276,3.18920
277,3.18840
278,3.18760
279,3.18680
280,3.18600
281,3.18520
282,3.18440
283,3.18360
284,3.18280
285,3.18200
286,3.18120
287,3.18040
288,3.17960
289,3.17880
290,3.17800
291,3.17720
292,3.17640
293,3.17560
294,3.17480
295,3.17400
296,3.17320
297,3.17240
298,3.17160
299,3.17080
300,3.17000
301,3.16000
302,3.15000
303,3.14000
304,3.13000
305,3.12000
306,3.11000
307,3.10000
308,3.09000
309,3.08000
310,3.07000
311,3.06000
312,3.05000
313,3.04000
314,3.03000
315,3.02000
316,3.01000
317,3.00000
318,2.99000
319,2.98000
320,2.97000
321,2.96000
322,2.95000
323,2.94000
324,2.93000
325,2.92000
326,2.91000
327,2.90000
328,2.89000
329,2.88000
330,2.87000
331,2.86000
332,2.85000
333,2.84000
334,2.83000
335,2.82000
336,2.81000
337,2.80000
338,2.79000
339,2.78000
340,2.77000
341,2.76000
342,2.75000
343,2.74000
344,2.73000
345,2.72000
346,2.71000
347,2.70000
348,2.69000
349,2.68000
350,2.67000
351,2.66000
352,2.65000
353,2.64000
354,2.63000
355,2.62000
356,2.61000
357,2.60000
358,2.59000
359,2.58000
360,2.57000
361,2.56000
362,2.55000
363,2.54000
364,2.53000
365,2.52000
366,2.51000
367,2.50000
368,2.49000
369,2.48000
370,2.47000
371,2.46000
372,2.45000
373,2.44000
374,2.43000
375,2.42000
376,2.41000
377,2.40000
378,2.39000
379,2.38000
380,2.37000
381,2.36000
382,2.35000
383,2.34000
384,2.33000
385,2.32000
386,2.31000
387,2.30000
