Frequency (Hz),dB (Relative)
20,2.24
21,2.682
22,3.124
23,3.566
24,4.008
25,4.45
26,4.892
27,5.334
28,5.776
29,6.218
30,6.66
31,6.8
32,6.94
33,7.08
34,7.22
35,7.36
36,7.5
37,7.64
38,7.78
39,7.92
40,8.06
41,8.114
42,8.168
43,8.222
44,8.276
45,8.33
46,8.384
47,8.438
48,8.492
49,8.546
50,8.6
51,8.693
52,8.786
53,8.879
54,8.972
55,9.065
56,9.158
57,9.251
58,9.344
59,9.437
60,9.53
61,9.468
62,9.406
63,9.344
64,9.282
65,9.22
66,9.158
67,9.096
68,9.034
69,8.972
70,8.91
71,8.996
72,9.082
73,9.168
74,9.254
75,9.34
76,9.426
77,9.512
78,9.598
79,9.684
80,9.77
81,9.785
82,9.8
83,9.815
84,9.83
85,9.845
86,9.86
87,9.875
88,9.89
89,9.905
90,9.92
91,9.974
92,10.028
93,10.082
94,10.136
95,10.19
96,10.244
97,10.298
98,10.352
99,10.406
100,10.46
101,10.4012
102,10.3424
103,10.2836
104,10.2248
105,10.166
106,10.1072
107,10.0484
108,9.9896
109,9.9308
110,9.872
111,9.8132
112,9.7544
113,9.6956
114,9.6368
115,9.578
116,9.5192
117,9.4604
118,9.4016
119,9.3428
120,9.284
121,9.2252
122,9.1664
123,9.1076
124,9.0488
125,8.99
126,8.9312
127,8.8724
128,8.8136
129,8.7548
130,8.696
131,8.6372
132,8.5784
133,8.5196
134,8.4608
135,8.402
136,8.3432
137,8.2844
138,8.2256
139,8.1668
140,8.108
141,8.0492
142,7.9904
143,7.9316
144,7.8728
145,7.814
146,7.7552
147,7.6964
148,7.6376
149,7.5788
150,7.52
151,7.4454
152,7.3708
153,7.2962
154,7.2216
155,7.147
156,7.0724
157,6.9978
158,6.9232
159,6.8486
160,6.774
161,6.6994
162,6.6248
163,6.5502
164,6.4756
165,6.401
166,6.3264
167,6.2518
168,6.1772
169,6.1026
170,6.028
171,5.9534
172,5.8788
173,5.8042
174,5.7296
175,5.655
176,5.5804
177,5.5058
178,5.4312
179,5.3566
180,5.282
181,5.2074
182,5.1328
183,5.0582
184,4.9836
185,4.909
186,4.8344
187,4.7598
188,4.6852
189,4.6106
190,4.536
191,4.4614
192,4.3868
193,4.3122
194,4.2376
195,4.163
196,4.0884
197,4.0138
198,3.9392
199,3.8646
200,3.79
201,3.7761
202,3.7622
203,3.7483
204,3.7344
205,3.7205
206,3.7066
207,3.6927
208,3.6788
209,3.6649
210,3.651
211,3.6371
212,3.6232
213,3.6093
214,3.5954
215,3.5815
216,3.5676
217,3.5537
218,3.5398
219,3.5259
220,3.512
221,3.4981
222,3.4842
223,3.4703
224,3.4564
225,3.4425
226,3.4286
227,3.4147
228,3.4008
229,3.3869
230,3.373
231,3.3591
232,3.3452
233,3.3313
234,3.3174
235,3.3035
236,3.2896
237,3.2757
238,3.2618
239,3.2479
240,3.234
241,3.2201
242,3.2062
243,3.1923
244,3.1784
245,3.1645
246,3.1506
247,3.1367
248,3.1228
249,3.1089
250,3.095
251,3.0811
252,3.0672
253,3.0533
254,3.0394
255,3.0255
256,3.0116
257,2.9977
258,2.9838
259,2.9699
260,2.956
261,2.9421
262,2.9282
263,2.9143
264,2.9004
265,2.8865
266,2.8726
267,2.8587
268,2.8448
269,2.8309
270,2.817
271,2.8031
272,2.7892
273,2.7753
274,2.7614
275,2.7475
276,2.7336
277,2.7197
278,2.7058
279,2.6919
280,2.678
281,2.6641
282,2.6502
283,2.6363
284,2.6224
285,2.6085
286,2.5946
287,2.5807
288,2.5668
289,2.5529
290,2.539
291,2.5251
292,2.5112
293,2.4973
294,2.4834
295,2.4695
296,2.4556
297,2.4417
298,2.4278
299,2.4139
300,2.4
301,2.4248
302,2.4496
303,2.4744
304,2.4992
305,2.524
306,2.5488
307,2.5736
308,2.5984
309,2.6232
310,2.648
311,2.6728
312,2.6976
313,2.7224
314,2.7472
315,2.772
316,2.7968
317,2.8216
318,2.8464
319,2.8712
320,2.896
321,2.9208
322,2.9456
323,2.9704
324,2.9952
325,3.02
326,3.0448
327,3.0696
328,3.0944
329,3.1192
330,3.144
331,3.1688
332,3.1936
333,3.2184
334,3.2432
335,3.268
336,3.2928
337,3.3176
338,3.3424
339,3.3672
340,3.392
341,3.4168
342,3.4416
343,3.4664
344,3.4912
345,3.516
346,3.5408
347,3.5656
348,3.5904
349,3.6152
350,3.64
351,3.6648
352,3.6896
353,3.7144
354,3.7392
355,3.764
356,3.7888
357,3.8136
358,3.8384
359,3.8632
360,3.888
