Frequency (Hz),dB (Relative)
20,15.19000
21,15.20600
22,15.22200
23,15.23800
24,15.25400
25,15.27000
26,15.28600
27,15.30200
28,15.31800
29,15.33400
30,15.35000
31,15.24900
32,15.14800
33,15.04700
34,14.94600
35,14.84500
36,14.74400
37,14.64300
38,14.54200
39,14.44100
40,14.34000
41,14.17700
42,14.01400
43,13.85100
44,13.68800
45,13.52500
46,13.36200
47,13.19900
48,13.03600
49,12.87300
50,12.71000
51,12.56300
52,12.41600
53,12.26900
54,12.12200
55,11.97500
56,11.82800
57,11.68100
58,11.53400
59,11.38700
60,11.24000
61,11.15500
62,11.07000
63,10.98500
64,10.90000
65,10.81500
66,10.73000
67,10.64500
68,10.56000
69,10.47500
70,10.39000
71,10.36600
72,10.34200
73,10.31800
74,10.29400
75,10.27000
76,10.24600
77,10.22200
78,10.19800
79,10.17400
80,10.15000
81,10.12700
82,10.10400
83,10.08100
84,10.05800
85,10.03500
86,10.01200
87,9.98900
88,9.96600
89,9.94300
90,9.92000
91,9.86600
92,9.81200
93,9.75800
94,9.70400
95,9.65000
96,9.59600
97,9.54200
98,9.48800
99,9.43400
100,9.38000
101,9.28380
102,9.18760
103,9.09140
104,8.99520
105,8.89900
106,8.80280
107,8.70660
108,8.61040
109,8.51420
110,8.41800
111,8.32180
112,8.22560
113,8.12940
114,8.03320
115,7.93700
116,7.84080
117,7.74460
118,7.64840
119,7.55220
120,7.45600
121,7.35980
122,7.26360
123,7.16740
124,7.07120
125,6.97500
126,6.87880
127,6.78260
128,6.68640
129,6.59020
130,6.49400
131,6.39780
132,6.30160
133,6.20540
134,6.10920
135,6.01300
136,5.91680
137,5.82060
138,5.72440
139,5.62820
140,5.53200
141,5.43580
142,5.33960
143,5.24340
144,5.14720
145,5.05100
146,4.95480
147,4.85860
148,4.76240
149,4.66620
150,4.57000
151,4.52500
152,4.48000
153,4.43500
154,4.39000
155,4.34500
156,4.30000
157,4.25500
158,4.21000
159,4.16500
160,4.12000
161,4.07500
162,4.03000
163,3.98500
164,3.94000
165,3.89500
166,3.85000
167,3.80500
168,3.76000
169,3.71500
170,3.67000
171,3.62500
172,3.58000
173,3.53500
174,3.49000
175,3.44500
176,3.40000
177,3.35500
178,3.31000
179,3.26500
180,3.22000
181,3.17500
182,3.13000
183,3.08500
184,3.04000
185,2.99500
186,2.95000
187,2.90500
188,2.86000
189,2.81500
190,2.77000
191,2.72500
192,2.68000
193,2.63500
194,2.59000
195,2.54500
196,2.50000
197,2.45500
198,2.41000
199,2.36500
200,2.32000
201,2.28670
202,2.25340
203,2.22010
204,2.18680
205,2.15350
206,2.12020
207,2.08690
208,2.05360
209,2.02030
210,1.98700
211,1.95370
212,1.92040
213,1.88710
214,1.85380
215,1.82050
216,1.78720
217,1.75390
218,1.72060
219,1.68730
220,1.65400
221,1.62070
222,1.58740
223,1.55410
224,1.52080
225,1.48750
226,1.45420
227,1.42090
228,1.38760
229,1.35430
230,1.32100
231,1.28770
232,1.25440
233,1.22110
234,1.18780
235,1.15450
236,1.12120
237,1.08790
238,1.05460
239,1.02130
240,0.98800
241,0.95470
242,0.92140
243,0.88810
244,0.85480
245,0.82150
246,0.78820
247,0.75490
248,0.72160
249,0.68830
250,0.65500
251,0.62170
252,0.58840
253,0.55510
254,0.52180
255,0.48850
256,0.45520
257,0.42190
258,0.38860
259,0.35530
260,0.32200
261,0.28870
262,0.25540
263,0.22210
264,0.18880
265,0.15550
266,0.12220
267,0.08890
268,0.05560
269,0.02230
270,-0.01100
271,-0.04430
272,-0.07760
273,-0.11090
274,-0.14420
275,-0.17750
276,-0.21080
277,-0.24410
278,-0.27740
279,-0.31070
280,-0.34400
281,-0.37730
282,-0.41060
283,-0.44390
284,-0.47720
285,-0.51050
286,-0.54380
287,-0.57710
288,-0.61040
289,-0.64370
290,-0.67700
291,-0.71030
292,-0.74360
293,-0.77690
294,-0.81020
295,-0.84350
296,-0.87680
297,-0.91010
298,-0.94340
299,-0.97670
300,-1.01000
301,-1.02010
302,-1.03020
303,-1.04030
304,-1.05040
305,-1.06050
306,-1.07060
307,-1.08070
308,-1.09080
309,-1.10090
310,-1.11100
311,-1.12110
312,-1.13120
313,-1.14130
314,-1.15140
315,-1.16150
316,-1.17160
317,-1.18170
318,-1.19180
319,-1.20190
320,-1.21200
321,-1.22210
322,-1.23220
323,-1.24230
324,-1.25240
325,-1.26250
326,-1.27260
327,-1.28270
328,-1.29280
329,-1.30290
330,-1.31300
331,-1.32310
332,-1.33320
333,-1.34330
334,-1.35340
335,-1.36350
336,-1.37360
337,-1.38370
338,-1.39380
339,-1.40390
340,-1.41400
341,-1.42410
342,-1.43420
343,-1.44430
344,-1.45440
345,-1.46450
346,-1.47460
347,-1.48470
348,-1.49480
349,-1.50490
350,-1.51500
351,-1.52510
352,-1.53520
353,-1.54530
354,-1.55540
355,-1.56550
356,-1.57560
357,-1.58570
358,-1.59580
359,-1.60590
360,-1.61600
361,-1.62610
362,-1.63620
363,-1.64630
364,-1.65640
365,-1.66650
366,-1.67660
367,-1.68670
368,-1.69680
369,-1.70690
370,-1.71700
371,-1.72710
372,-1.73720
373,-1.74730
374,-1.75740
375,-1.76750
376,-1.77760
377,-1.78770
378,-1.79780
379,-1.80790
380,-1.81800
381,-1.82810
382,-1.83820
383,-1.84830
384,-1.85840
385,-1.86850
386,-1.87860
387,-1.88870
388,-1.89880
389,-1.90890
