Frequency (Hz),dB (Relative)
20,7.52000
21,7.50400
22,7.48800
23,7.47200
24,7.45600
25,7.44000
26,7.42400
27,7.40800
28,7.39200
29,7.37600
30,7.36000
31,7.31400
32,7.26800
33,7.22200
34,7.17600
35,7.13000
36,7.08400
37,7.03800
38,6.99200
39,6.94600
40,6.90000
41,6.85300
42,6.80600
43,6.75900
44,6.71200
45,6.66500
46,6.61800
47,6.57100
48,6.52400
49,6.47700
50,6.43000
51,6.37600
52,6.32200
53,6.26800
54,6.21400
55,6.16000
56,6.10600
57,6.05200
58,5.99800
59,5.94400
60,5.89000
61,5.86700
62,5.84400
63,5.82100
64,5.79800
65,5.77500
66,5.75200
67,5.72900
68,5.70600
69,5.68300
70,5.66000
71,5.64400
72,5.62800
73,5.61200
74,5.59600
75,5.58000
76,5.56400
77,5.54800
78,5.53200
79,5.51600
80,5.50000
81,5.48500
82,5.47000
83,5.45500
84,5.44000
85,5.42500
86,5.41000
87,5.39500
88,5.38000
89,5.36500
90,5.35000
91,5.33400
92,5.31800
93,5.30200
94,5.28600
95,5.27000
96,5.25400
97,5.23800
98,5.22200
99,5.20600
100,5.19000
101,5.17300
102,5.15600
103,5.13900
104,5.12200
105,5.10500
106,5.08800
107,5.07100
108,5.05400
109,5.03700
110,5.02000
111,5.00300
112,4.98600
113,4.96900
114,4.95200
115,4.93500
116,4.91800
117,4.90100
118,4.88400
119,4.86700
120,4.85000
121,4.83300
122,4.81600
123,4.79900
124,4.78200
125,4.76500
126,4.74800
127,4.73100
128,4.71400
129,4.69700
130,4.68000
131,4.66300
132,4.64600
133,4.62900
134,4.61200
135,4.59500
136,4.57800
137,4.56100
138,4.54400
139,4.52700
140,4.51000
141,4.49300
142,4.47600
143,4.45900
144,4.44200
145,4.42500
146,4.40800
147,4.39100
148,4.37400
149,4.35700
150,4.34000
151,4.31820
152,4.29640
153,4.27460
154,4.25280
155,4.23100
156,4.20920
157,4.18740
158,4.16560
159,4.14380
160,4.12200
161,4.10020
162,4.07840
163,4.05660
164,4.03480
165,4.01300
166,3.99120
167,3.96940
168,3.94760
169,3.92580
170,3.90400
171,3.88220
172,3.86040
173,3.83860
174,3.81680
175,3.79500
176,3.77320
177,3.75140
178,3.72960
179,3.70780
180,3.68600
181,3.66420
182,3.64240
183,3.62060
184,3.59880
185,3.57700
186,3.55520
187,3.53340
188,3.51160
189,3.48980
190,3.46800
191,3.44620
192,3.42440
193,3.40260
194,3.38080
195,3.35900
196,3.33720
197,3.31540
198,3.29360
199,3.27180
200,3.25000
201,3.22130
202,3.19260
203,3.16390
204,3.13520
205,3.10650
